Price,sqft,Year,Details,Address,Link
845712,7004,2001,"neighborhood,residential","l33 Teaberry Ln Rancho Santa Margarita, CA 92688   ",
685399,4456,2002,"neighborhood,residential","14 Corte Las Rosas Rancho Santa Margarita, CA 92688  ",
313262,3600,1986,"neighborhood,residential,grocery","19 Via Zapador  Rancho Santa Margarita, CA 92688",
430145,3600,1986,"neighborhood,residential,grocery","14 Pasada Valiente Rancho Santa Margarita, CA 92688   ",
525366,4698,1991,"neighborhood,residential","17 Via Encaro Rancho Santa Margarita, CA 92688   ",
732855,2975,1993,"neighborhood,residential","15 Via Geneva Rancho Santa Margarita, CA 92688   ",
316262,3600,1994,"neighborhood,residential","26 Via Caseta Rancho Santa Margarita, CA 92688   ",
5800000,4125,2011,"patio,beach","31422 Ceanothus Dr Laguna Beach, CA 92651",https://www.homes.com/property/31422-ceanothus-dr-laguna-beach-ca/72cqqd89fymdp/   
4995000,1579,1962,"smallpatio,beach","31423 Coast Hwy Unit 51 Laguna Beach, CA 92651",https://www.homes.com/property/31423-coast-hwy-laguna-beach-ca-unit-51/g7lr26p2qyg6s/
790000,49615,0,"land,nobuilding,secluded,lot,acre,space","10466 Morada Orange, CA 92869",https://www.homes.com/property/10466-morada-orange-ca/ddkmr02ljp0d8/     
650000,1117,1995,trees,"54 Sagebrush Unit 196 Trabuco Canyon, CA 92679",https://www.homes.com/property/54-sagebrush-trabuco-canyon-ca-unit-196/7tjw3ly6g0v1y/  
1279000,2832,2008,"mountains,views,private,secluded,patio,forest","7785 Torgersen Road, Eureka, CA, 95503",https://www.jamesedition.com/real_estate/eureka-ca-usa/7785-torgersen-road-eureka-ca-95503-14323189    
714900,1080,1989,"neighborhood,residential,communitypool","82 Morning Glory Unit 64 Rancho Santa Margarita, CA 92688",https://www.homes.com/property/82-morning-glory-rancho-santa-margarita-ca-unit-64/d29zfdsk2nfq0/
1799900,2797,1992,"mountains,views,pool,patio","33 Altezza Dr Mission Viejo, CA 92692",https://www.homes.com/property/33-altezza-dr-mission-viejo-ca/8jnx17py5h055/   
249000,112385,0,"nobuilding,land","0 Little Canyon Ln Yorba Linda, CA 92886",https://www.homes.com/property/0-little-canyon-ln-yorba-linda-ca/bew9dswymg90c/  
459900,678,1990,"communitypool,fitness,convenient,low-maintenance","8734 E Indian Hills Rd Unit H Orange, CA 92869",https://www.homes.com/property/8734-e-indian-hills-rd-orange-ca-unit-h/sjc3p95h9tw5j/
